기관명,지점명,코드명,위도,경도,장비구분,제조사,모델명,제조번호,검정필번호,최종검정일,검정유효기간,접수번호,검정일
기상청,경산,OGSB,35.7685,128.8971,기록계,Nanometrics,CENTAUR,8643,I-2021-74,2021-09-17,2026-09-16,O-2026-65,2026-05-27
기상청,경산,OGSB,35.7685,128.8971,속도계,Nanometrics,Trillium 120 PH,981,I-2021-82,2021-10-12,2026-10-11,O-2026-65,2026-05-27
기상청,경산,OGSB,35.7685,128.8971,가속도계,Nanometrics,Titan PH,2581,I-2021-87,2021-10-19,2026-10-18,O-2026-65,2026-05-27
기상청,대관령,JDGB,37.6904,128.6742,기록계,Nanometrics,CENTAUR,8656,I-2021-78,2021-10-01,2026-09-30,O-2026-97,2026-07-01
기상청,대관령,JDGB,37.6904,128.6742,속도계,Nanometrics,Trillium 120 PH,978,I-2021-79,2021-10-06,2026-10-05,O-2026-97,2026-07-01
기상청,대관령,JDGB,37.6904,128.6742,가속도계,Nanometrics,Titan PH,2577,I-2021-83,2021-10-13,2026-10-12,O-2026-97,2026-07-01
기상청,대청도,DDCB,37.8317,124.7069,기록계,Nanometrics,CENTAUR,8644,I-2021-74,2021-09-17,2026-09-16,,
기상청,대청도,DDCB,37.8317,124.7069,속도계,Nanometrics,Trillium 120 PH,982,I-2021-83,2021-10-13,2026-10-12,,
기상청,대청도,DDCB,37.8317,124.7069,가속도계,Nanometrics,Titan PH,2582,I-2021-87,2021-10-19,2026-10-18,,
기상청,밀양,PMYA,35.5018,128.7606,가속도계,Nanometrics,Titan PH,2576,I-2021-83,2021-10-13,2026-10-12,O-2026-8,2026-02-12
기상청,새만금,MSMB,35.6891,126.5562,속도계,Nanometrics,Trillium 120 PH,989,I-2021-90,2021-10-22,2026-10-21,,
기상청,새만금,MSMB,35.6891,126.5562,가속도계,Nanometrics,Titan PH,2596,I-2021-91,2021-10-22,2026-10-21,I-2026-101,2026-06-25
기상청,시흥,ISHB,37.3488,126.7039,기록계,Nanometrics,CENTAUR,8652,I-2021-77,2021-10-01,2026-09-30,O-2026-99,2026-07-07
기상청,시흥,ISHB,37.3488,126.7039,속도계,Nanometrics,Trillium 120 PH,988,I-2021-89,2021-10-21,2026-10-20,O-2026-99,2026-07-07
기상청,시흥,ISHB,37.3488,126.7039,가속도계,Nanometrics,Titan PH,2595,I-2021-90,2021-10-22,2026-10-21,O-2026-99,2026-07-07
기상청,안동,OADB,36.5245,128.8314,기록계,Nanometrics,CENTAUR,8649,I-2021-76,2021-09-24,2026-09-23,O-2026-61,2026-05-14
기상청,안동,OADB,36.5245,128.8314,속도계,Nanometrics,Trillium 120 PH,985,I-2021-86,2021-10-18,2026-10-17,O-2026-61,2026-05-14
기상청,안동,OADB,36.5245,128.8314,가속도계,Nanometrics,Titan PH,2592,I-2021-89,2021-10-21,2026-10-20,O-2026-61,2026-05-14
기상청,양평,IYPA,37.4914,127.5218,기록계,Nanometrics,CENTAUR,8624,I-2021-67,2021-09-09,2026-09-08,O-2026-104,2026-07-14
기상청,양평,IYPA,37.4914,127.5218,가속도계,Nanometrics,Titan PH,2549,I-2021-66,2021-09-08,2026-09-07,O-2026-104,2026-07-14
기상청,옥계,JOGB,37.621,128.9801,기록계,Nanometrics,CENTAUR,8655,I-2021-78,2021-10-01,2026-09-30,O-2026-51,2026-04-29
기상청,옥계,JOGB,37.621,128.9801,속도계,Nanometrics,Trillium 120 PH,980,I-2021-80,2021-10-07,2026-10-06,O-2026-51,2026-04-29
기상청,옥계,JOGB,37.621,128.9801,가속도계,Nanometrics,Titan PH,2260,I-2021-79,2021-10-06,2026-10-05,O-2026-51,2026-04-29
기상청,온정,OOJB,36.701999,129.408396,기록계,Nanometrics,CENTAUR,8642,I-2021-74,2021-09-17,2026-09-16,O-2026-74,2026-06-02
기상청,온정,OOJB,36.701999,129.408396,속도계,Nanometrics,Trillium 120 PH,979,I-2021-81,2021-10-08,2026-10-07,O-2026-74,2026-06-02
기상청,온정,OOJB,36.701999,129.408396,가속도계,Nanometrics,Titan PH,2580,I-2021-86,2021-10-18,2026-10-17,O-2026-74,2026-06-02
기상청,원주,JWJB,37.4155,128.0505,기록계,Nanometrics,CENTAUR,8638,I-2021-73,2021-09-16,2026-09-15,O-2026-42,2026-04-17
기상청,원주,JWJB,37.4155,128.0505,속도계,Nanometrics,Trillium 120 PH,977,I-2021-79,2021-10-06,2026-10-05,O-2026-42,2026-04-17
기상청,원주,JWJB,37.4155,128.0505,가속도계,Nanometrics,Titan PH,2575,I-2021-82,2021-10-12,2026-10-11,O-2026-42,2026-04-17
기상청,음성,KESB,36.9537,127.6048,기록계,Nanometrics,CENTAUR,8636,I-2021-72,2021-09-14,2026-09-13,O-2026-71,2026-05-29
기상청,음성,KESB,36.9537,127.6048,속도계,Nanometrics,Trillium 120 PH,968,I-2021-62,2021-09-02,2026-09-01,O-2026-71,2026-05-29
기상청,청주,CE2A,36.6268,127.5135,기록계,Kinemetrics,Q330HRS,6096,O-2021-7,2021-04-09,2026-04-08,O-2026-34,2026-04-01
기상청,청주,CE2A,36.6268,127.5135,가속도계,Kinemetrics,ES-DH,453,O-2021-7,2021-04-09,2026-04-08,O-2026-34,2026-04-01
기상청,평택,IPTA,36.9969,127.1354,기록계,Nanometrics,CENTAUR,8654,I-2021-77,2021-10-01,2026-09-30,O-2026-138,2026-08-14
기상청,평택,IPTA,36.9969,127.1354,가속도계,Nanometrics,Titan PH,2598,I-2021-91,2021-10-22,2026-10-21,O-2026-138,2026-08-14
기상청,포항,OPHB,36.1905,129.3392,기록계,Nanometrics,CENTAUR,8650,I-2021-76,2021-09-24,2026-09-23,O-2026-56,2026-05-08
기상청,포항,OPHB,36.1905,129.3392,속도계,Nanometrics,Trillium 120 PH,986,I-2021-87,2021-10-19,2026-10-18,O-2026-56,2026-05-08
기상청,포항,OPHB,36.1905,129.3392,가속도계,Nanometrics,Titan PH,2593,I-2021-89,2021-10-21,2026-10-20,O-2026-56,2026-05-08
기상청,화천,JHCB,38.2322,127.6888,기록계,Nanometrics,CENTAUR,8646,I-2021-75,2021-09-23,2026-09-22,O-2026-54,2026-05-07
기상청,화천,JHCB,38.2322,127.6888,속도계,Nanometrics,Trillium 120 PH,983,I-2021-85,2021-10-15,2026-10-14,O-2026-54,2026-05-07
기상청,화천,JHCB,38.2322,127.6888,가속도계,Nanometrics,Titan PH,2583,I-2021-88,2021-10-20,2026-10-19,O-2026-54,2026-05-07
기상청,흑산도,NHSB,34.6871,125.4504,기록계,Nanometrics,CENTAUR,8651,I-2021-76,2021-09-24,2026-09-23,O-2026-114,2026-07-29
기상청,흑산도,NHSB,34.6871,125.4504,속도계,Nanometrics,Trillium 120 PH,987,I-2021-88,2021-10-20,2026-10-19,O-2026-114,2026-07-29
기상청,흑산도,NHSB,34.6871,125.4504,가속도계,Nanometrics,Titan PH,2594,I-2021-90,2021-10-22,2026-10-21,O-2026-114,2026-07-29
기상청,안중,INJA,36.993,126.918474,기록계,Nanometrics,CENTAUR,8618,I-2021-65,2021-09-07,2026-09-06,O-2026-137,2026-08-13
기상청,안중,INJA,36.993,126.918474,가속도계,Nanometrics,Titan PH,2542,I-2021-66,2021-09-08,2026-09-07,O-2026-137,2026-08-13
기상청,구정,JGJA,37.704719,128.913415,기록계,Nanometrics,CENTAUR,8633,I-2021-69,2021-09-13,2026-09-12,O-2026-50,2026-04-28
기상청,구정,JGJA,37.704719,128.913415,가속도계,Nanometrics,Titan PH,2541,I-2021-80,2021-10-07,2026-10-06,O-2026-50,2026-04-28
기상청,진부,JJBA,37.647925,128.564524,기록계,Nanometrics,CENTAUR,8631,I-2021-69,2021-09-13,2026-09-12,O-2026-46,2026-04-22
기상청,진부,JJBA,37.647925,128.564524,가속도계,Nanometrics,Titan PH,2554,I-2021-68,2021-09-09,2026-09-08,O-2026-46,2026-04-22
기상청,소보,OSBA,36.276214,128.466333,기록계,Nanometrics,CENTAUR,8616,I-2021-67,2021-09-09,2026-09-08,O-2026-63,2026-05-19
기상청,소보,OSBA,36.276214,128.466333,가속도계,Nanometrics,Titan PH,2539,I-2021-64,2021-09-06,2026-09-05,O-2026-63,2026-05-19
기상청,울진북,OUJA,37.11573,129.370242,기록계,Nanometrics,CENTAUR,8635,I-2021-72,2021-09-14,2026-09-13,O-2026-73,2026-06-01
기상청,울진북,OUJA,37.11573,129.370242,가속도계,Nanometrics,Titan PH,2556,I-2021-81,2021-10-08,2026-10-07,O-2026-73,2026-06-01
기상청,화북,OHBA,36.138884,128.994749,기록계,Nanometrics,CENTAUR,8622,I-2021-65,2021-09-07,2026-09-06,O-2026-52,2026-05-06
기상청,화북,OHBA,36.138884,128.994749,가속도계,Nanometrics,Titan PH,2543,I-2021-66,2021-09-08,2026-09-07,O-2026-52,2026-05-06
기상청,황성,OWSA,35.863047,129.209289,기록계,Nanometrics,CENTAUR,8645,I-2021-75,2021-09-23,2026-09-22,I-2026-74,2026-05-07
기상청,황성,OWSA,35.863047,129.209289,가속도계,Nanometrics,Titan PH,2578,I-2021-85,2021-10-15,2026-10-14,I-2026-74,2026-05-07
기상청,풍산,OPSA,36.580989,128.560634,기록계,Nanometrics,CENTAUR,8625,I-2021-67,2021-09-09,2026-09-08,O-2026-58,2026-05-13
기상청,풍산,OPSA,36.580989,128.560634,가속도계,Nanometrics,Titan PH,2553,I-2021-68,2021-09-09,2026-09-08,O-2026-58,2026-05-13
기상청,경북장수,OJSA,36.786901,128.571418,기록계,Nanometrics,CENTAUR,8634,I-2021-72,2021-09-14,2026-09-13,O-2026-57,2026-05-11
기상청,경북장수,OJSA,36.786901,128.571418,가속도계,Nanometrics,Titan PH,2555,I-2021-80,2021-10-07,2026-10-06,O-2026-57,2026-05-11
기상청,달성,CDSA,35.704465,128.444361,기록계,Nanometrics,CENTAUR,8637,I-2021-73,2021-09-16,2026-09-15,O-2026-62,2026-05-18
기상청,달성,CDSA,35.704465,128.444361,가속도계,Nanometrics,Titan PH,2574,I-2021-82,2021-10-12,2026-10-11,O-2026-62,2026-05-18
기상청,팔금,NPGA,34.786946,126.147751,기록계,Nanometrics,CENTAUR,8586,I-2021-63,2021-09-03,2026-09-02,O-2026-107,2026-07-20
기상청,팔금,NPGA,34.786946,126.147751,가속도계,Nanometrics,Titan PH,2423,I-2021-62,2021-09-02,2026-09-01,O-2026-107,2026-07-20
기상청,함평남,NHPA,35.060394,126.527374,기록계,Nanometrics,CENTAUR,8567,I-2021-63,2021-09-03,2026-09-02,O-2026-38,2026-04-15
기상청,함평남,NHPA,35.060394,126.527374,가속도계,Nanometrics,Titan PH,2422,I-2021-62,2021-09-02,2026-09-01,O-2026-38,2026-04-15
기상청,강진,NGJA,34.644516,126.784051,기록계,Nanometrics,CENTAUR,8632,I-2021-69,2021-09-13,2026-09-12,O-2026-67,2026-05-28
기상청,강진,NGJA,34.644516,126.784051,가속도계,Nanometrics,Titan PH,2579,I-2021-86,2021-10-18,2026-10-17,O-2026-67,2026-05-28
기상청,송지,NSJA,34.381934,126.515861,기록계,Nanometrics,CENTAUR,8611,I-2021-63,2021-09-03,2026-09-02,O-2026-53,2026-05-07
기상청,송지,NSJA,34.381934,126.515861,가속도계,Nanometrics,Titan PH,2424,I-2021-64,2021-09-06,2026-09-05,O-2026-53,2026-05-07
기상청,약산,NYSA,34.378096,126.88675,기록계,Nanometrics,CENTAUR,8617,I-2021-65,2021-09-07,2026-09-06,O-2026-55,2026-05-08
기상청,약산,NYSA,34.378096,126.88675,가속도계,Nanometrics,Titan PH,2540,I-2021-64,2021-09-06,2026-09-05,O-2026-55,2026-05-08
기상청,세종,HSJB,36.5668,127.2804,기록계,Nanometrics,CENTAUR,8647,I-2021-75,2021-09-23,2026-09-22,O-2026-69,2026-05-28
기상청,세종,HSJB,36.5668,127.2804,속도계,Nanometrics,Trillium 120 PH,984,I-2021-85,2021-10-15,2026-10-14,O-2026-69,2026-05-28
기상청,세종,HSJB,36.5668,127.2804,가속도계,Nanometrics,Titan PH,2585,I-2021-88,2021-10-20,2026-10-19,O-2026-69,2026-05-28
기상청,정선특별관측소,JSTB,37.192185,128.66809,기록계,Kinemetrics,Q330HRS,6994,I-2021-1,2021-01-08,2026-01-07,O-2026-1,2026-01-06
기상청,정선특별관측소,JSTB,37.192185,128.66809,속도계,Streckeisen,STS-5A,130947,I-2021-3,2021-01-15,2026-01-14,O-2026-1,2026-01-06
기상청,정선특별관측소,JSTB,37.192185,128.66809,가속도계,Kinemetrics,ES-DH,682,I-2021-2,2021-01-14,2026-01-13,O-2026-1,2026-01-06
기상청,거제,GEJA,34.998401,128.679686,기록계,Nanometrics,CENTAUR,9548,I-2022-93,2022-09-23,2027-09-22,O-2026-152,2026-08-26
기상청,거제,GEJA,34.998401,128.679686,가속도계,Nanometrics,Titan PH,2769,I-2022-85,2022-09-08,2027-09-07,O-2026-152,2026-08-26
기상청,고창,GOCB,35.348448,126.598183,기록계,Nanometrics,CENTAUR,9539,I-2022-80,2022-09-01,2027-08-31,O-2026-103,2026-07-14
기상청,고창,GOCB,35.348448,126.598183,속도계,Nanometrics,Trillium 120 PH,2786,I-2022-114,2022-10-20,2027-10-19,O-2026-103,2026-07-14
기상청,고창,GOCB,35.348448,126.598183,가속도계,Nanometrics,Titan PH,2837,I-2022-86,2022-09-13,2027-09-12,O-2026-103,2026-07-14
기상청,고흥,KH2B,34.6185,127.2757,가속도계,Kinemetrics,ES-DH,680,I-2022-73,2022-08-11,2027-08-10,O-2026-60,2026-05-14
기상청,광양,GWYB,34.943289,127.691414,기록계,Nanometrics,CENTAUR,9581,I-2022-97,2022-09-30,2027-09-29,O-2026-33,2026-04-01
기상청,광양,GWYB,34.943289,127.691414,속도계,Nanometrics,Trillium 120 PH,2788,I-2022-114,2022-10-20,2027-10-19,O-2026-33,2026-04-01
기상청,광양,GWYB,34.943289,127.691414,가속도계,Nanometrics,Titan PH,2966,I-2022-102,2022-10-11,2027-10-10,O-2026-33,2026-04-01
기상청,남원,NAWB,35.42117,127.396272,기록계,Nanometrics,CENTAUR,9570,I-2022-95,2022-09-28,2027-09-27,I-2026-102,2026-06-29
기상청,남원,NAWB,35.42117,127.396272,속도계,Nanometrics,Trillium 120 PH,2792,I-2022-115,2022-10-21,2027-10-20,,
기상청,남원,NAWB,35.42117,127.396272,가속도계,Nanometrics,Titan PH,2965,I-2022-102,2022-10-11,2027-10-10,I-2026-12,2026-01-20
기상청,보령,PORA,36.327826,126.557519,기록계,Nanometrics,CENTAUR,9538,I-2022-80,2022-09-01,2027-08-31,,
기상청,보령,PORA,36.327826,126.557519,가속도계,Nanometrics,Titan PH,2938,I-2022-88,2022-09-15,2027-09-14,,
기상청,대서,DASB,34.744836,127.273148,기록계,Nanometrics,CENTAUR,9569,I-2022-95,2022-09-28,2027-09-27,O-2026-59,2026-05-13
기상청,대서,DASB,34.744836,127.273148,속도계,Nanometrics,Trillium 120 PH,2803,I-2022-117,2022-10-26,2027-10-25,O-2026-59,2026-05-13
기상청,대서,DASB,34.744836,127.273148,가속도계,Nanometrics,Titan PH,2836,I-2022-86,2022-09-13,2027-09-12,O-2026-59,2026-05-13
기상청,서산,SESB,36.776666,126.493851,기록계,Nanometrics,CENTAUR,9559,I-2022-93,2022-09-23,2027-09-22,,
기상청,서산,SESB,36.776666,126.493851,속도계,Nanometrics,Trillium 120 PH,2800,I-2022-122,2022-11-11,2027-11-10,,
기상청,서산,SESB,36.776666,126.493851,가속도계,Nanometrics,Titan PH,2960,I-2022-122,2022-11-11,2027-11-10,,
기상청,순창,SUCA,35.373621,127.138635,기록계,Nanometrics,CENTAUR,9573,I-2022-96,2022-09-29,2027-09-28,O-2026-106,2026-07-16
기상청,순창,SUCA,35.373621,127.138635,가속도계,Nanometrics,Titan PH,2768,I-2022-85,2022-09-08,2027-09-07,O-2026-106,2026-07-16
기상청,옥천,OKCB,36.34626,127.79412,기록계,Nanometrics,CENTAUR,9576,I-2022-96,2022-09-29,2027-09-28,O-2026-78,2026-06-08
기상청,옥천,OKCB,36.34626,127.79412,속도계,Nanometrics,Trillium 120 PH,2802,I-2022-117,2022-10-26,2027-10-25,O-2026-78,2026-06-08
기상청,옥천,OKCB,36.34626,127.79412,가속도계,Nanometrics,Titan PH,2967,I-2022-102,2022-10-11,2027-10-10,O-2026-78,2026-06-08
기상청,완주,WAJB,35.937821,127.293127,기록계,Nanometrics,CENTAUR,9574,I-2022-96,2022-09-29,2027-09-28,,
기상청,완주,WAJB,35.937821,127.293127,속도계,Nanometrics,Trillium 120 PH,2801,I-2022-119,2022-11-01,2027-10-31,,
기상청,완주,WAJB,35.937821,127.293127,가속도계,Nanometrics,Titan PH,2934,I-2022-98,2022-10-04,2027-10-03,,
기상청,욕지도,YKDB,34.6223,128.2734,속도계,Guralp,CMG-3TB,T38808,I-2022-12,2022-03-16,2027-03-15,,
기상청,의령,EURB,35.322492,128.288222,속도계,Nanometrics,Trillium 120 PH,2789,I-2022-115,2022-10-21,2027-10-20,O-2026-49,2026-04-28
기상청,의령,EURB,35.322492,128.288222,가속도계,Nanometrics,Titan PH,2949,I-2022-98,2022-10-04,2027-10-03,O-2026-49,2026-04-28
기상청,임원,IMWB,37.237934,129.342076,기록계,Nanometrics,CENTAUR,9541,I-2022-81,2022-09-02,2027-09-01,O-2026-144,2026-08-19
기상청,임원,IMWB,37.237934,129.342076,속도계,Nanometrics,Trillium 120 PH,2791,I-2022-118,2022-10-31,2027-10-30,O-2026-144,2026-08-19
기상청,임원,IMWB,37.237934,129.342076,가속도계,Nanometrics,Titan PH,2961,I-2022-100,2022-10-06,2027-10-05,O-2026-144,2026-08-19
기상청,춘천,CHCB,37.777551,127.814392,기록계,Nanometrics,CENTAUR,9553,I-2022-82,2022-09-05,2027-09-04,,
기상청,춘천,CHCB,37.777551,127.814392,속도계,Nanometrics,Trillium 120 PH,2804,I-2022-118,2022-10-31,2027-10-30,,
기상청,춘천,CHCB,37.777551,127.814392,가속도계,Nanometrics,Titan PH,2945,I-2022-88,2022-09-15,2027-09-14,,
기상청,한림,HA2B,33.392524,126.258308,기록계,Nanometrics,CENTAUR,9571,I-2022-95,2022-09-28,2027-09-27,,
기상청,한림,HA2B,33.392524,126.258308,속도계,Nanometrics,Trillium 120 PH,2794,I-2022-116,2022-10-25,2027-10-24,,
기상청,한림,HA2B,33.392524,126.258308,가속도계,Nanometrics,Titan PH,2835,I-2022-86,2022-09-13,2027-09-12,,
기상청,함양,HAMB,35.5115544,127.745693,기록계,Nanometrics,CENTAUR,9549,I-2022-81,2022-09-02,2027-09-01,I-2026-13,2026-01-22
기상청,함양,HAMB,35.5115544,127.745693,속도계,Nanometrics,Trillium 120 PH,2785,I-2022-114,2022-10-20,2027-10-19,O-2026-32,2026-03-31
기상청,함양,HAMB,35.5115544,127.745693,가속도계,Nanometrics,Titan PH,2946,I-2022-89,2022-09-16,2027-09-15,O-2026-32,2026-03-31
기상청,해남,HANB,34.554,126.5688,속도계,Guralp,CMG-3TB,T38828,I-2022-130,2022-12-07,2027-12-06,I-2026-60,2026-04-10
기상청,화성,HAWB,37.084445,126.773925,기록계,Nanometrics,CENTAUR,9558,I-2022-84,2022-09-07,2027-09-06,O-2026-135,2026-08-12
기상청,화성,HAWB,37.084445,126.773925,속도계,Nanometrics,Trillium 120 PH,2805,I-2022-123,2022-11-11,2027-11-10,O-2026-135,2026-08-12
기상청,화성,HAWB,37.084445,126.773925,가속도계,Nanometrics,Titan PH,2958,I-2022-122,2022-11-11,2027-11-10,O-2026-135,2026-08-12
기상청,밀양산내,MSNA,35.5884,128.9539,기록계,Kinemetrics,Q330S+,6497,I-2022-13,2022-03-17,2027-03-16,O-2026-3,2026-02-11
기상청,안흥,ANHA,37.464696,128.155024,가속도계,Nanometrics,Titan PH,2952,I-2022-89,2022-09-16,2027-09-15,O-2026-149,2026-08-21
기상청,현동,HYDA,36.283577,129.019264,기록계,Nanometrics,CENTAUR,9585,I-2022-97,2022-09-30,2027-09-29,O-2026-79,2026-06-09
기상청,현동,HYDA,36.283577,129.019264,가속도계,Nanometrics,Titan PH,2947,I-2022-89,2022-09-16,2027-09-15,O-2026-79,2026-06-09
기상청,봉화,BOHB,36.926326,129.053685,기록계,Nanometrics,CENTAUR,9556,I-2022-83,2022-09-06,2027-09-05,O-2026-132,2026-08-06
기상청,봉화,BOHB,36.926326,129.053685,속도계,Nanometrics,Trillium 120 PH,2787,I-2022-119,2022-11-01,2027-10-31,O-2026-132,2026-08-06
기상청,봉화,BOHB,36.926326,129.053685,가속도계,Nanometrics,Titan PH,2834,I-2022-85,2022-09-08,2027-09-07,O-2026-132,2026-08-06
기상청,김제,GIJA,35.796622,126.902045,기록계,Nanometrics,CENTAUR,9560,I-2022-84,2022-09-07,2027-09-06,,
기상청,김제,GIJA,35.796622,126.902045,가속도계,Nanometrics,Titan PH,2964,I-2022-101,2022-10-07,2027-10-06,,
기상청,성내,SENA,35.538485,126.742386,기록계,Nanometrics,CENTAUR,9542,I-2022-81,2022-09-02,2027-09-01,O-2026-105,2026-07-15
기상청,성내,SENA,35.538485,126.742386,가속도계,Nanometrics,Titan PH,2948,I-2022-92,2022-09-21,2027-09-20,O-2026-105,2026-07-15
기상청,풍양,PUYA,36.56179,128.306132,가속도계,Nanometrics,Titan PH,2944,I-2022-88,2022-09-15,2027-09-14,O-2026-77,2026-06-05
기상청,성주,SEJA,35.947423,128.21703,기록계,Nanometrics,CENTAUR,9555,I-2022-83,2022-09-06,2027-09-05,O-2026-80,2026-06-10
기상청,성주,SEJA,35.947423,128.21703,가속도계,Nanometrics,Titan PH,2936,I-2022-87,2022-09-14,2027-09-13,O-2026-80,2026-06-10
기상청,처인,CHIA,37.127287,127.116933,기록계,Nanometrics,CENTAUR,9568,I-2022-94,2022-09-27,2027-09-26,O-2026-141,2026-08-18
기상청,처인,CHIA,37.127287,127.116933,가속도계,Nanometrics,Titan PH,2963,I-2022-101,2022-10-07,2027-10-06,O-2026-141,2026-08-18
기상청,고북,GOBA,36.657064,126.544051,기록계,Nanometrics,CENTAUR,9562,I-2022-92,2022-09-21,2027-09-20,,
기상청,고북,GOBA,36.657064,126.544051,가속도계,Nanometrics,Titan PH,2962,I-2022-101,2022-10-07,2027-10-06,,
기상청,담양,DAYA,35.310266,126.972796,기록계,Nanometrics,CENTAUR,9563,I-2022-93,2022-09-23,2027-09-22,O-2026-36,2026-04-14
기상청,담양,DAYA,35.310266,126.972796,가속도계,Nanometrics,Titan PH,2959,I-2022-100,2022-10-06,2027-10-05,O-2026-36,2026-04-14
기상청,증도,JEDA,35.001844,126.101988,기록계,Nanometrics,CENTAUR,9550,I-2022-82,2022-09-05,2027-09-04,,
기상청,증도,JEDA,35.001844,126.101988,가속도계,Nanometrics,Titan PH,2838,I-2022-87,2022-09-14,2027-09-13,,
기상청,자은,JAEB,34.879054,126.028758,기록계,Nanometrics,CENTAUR,9554,I-2022-83,2022-09-06,2027-09-05,O-2026-110,2026-07-21
기상청,자은,JAEB,34.879054,126.028758,속도계,Nanometrics,Trillium 120 PH,2790,I-2022-115,2022-10-21,2027-10-20,O-2026-110,2026-07-21
기상청,자은,JAEB,34.879054,126.028758,가속도계,Nanometrics,Titan PH,2950,I-2022-99,2022-10-05,2027-10-04,O-2026-110,2026-07-21
기상청,안덕,ANDB,33.25658,126.32875,기록계,Nanometrics,CENTAUR,9567,I-2022-94,2022-09-27,2027-09-26,,
기상청,안덕,ANDB,33.25658,126.32875,속도계,Nanometrics,Trillium 120 PH,2793,I-2022-116,2022-10-25,2027-10-24,,
기상청,안덕,ANDB,33.25658,126.32875,가속도계,Nanometrics,Titan PH,2935,I-2022-87,2022-09-14,2027-09-13,,
기상청,서귀포 남원,SNWA,33.279813,126.705114,기록계,Nanometrics,CENTAUR,9566,I-2022-94,2022-09-27,2027-09-26,,
기상청,서귀포 남원,SNWA,33.279813,126.705114,가속도계,Nanometrics,Titan PH,2943,I-2022-98,2022-10-04,2027-10-03,,
기상청,신철원4,NCS4,38.233306,127.369401,속도계,Nanometrics,Trillium 120 PH,2717,I-2022-68,2022-07-19,2027-07-18,,
기상청,가덕도,GDDB,34.9931,128.8313,기록계,Kinemetrics,Q330HRS,6119,O-2023-55,2023-05-24,2028-05-23,,
기상청,가덕도,GDDB,34.9931,128.8313,속도계,Guralp,CMG-3TB,T39498,O-2023-55,2023-05-24,2028-05-23,,
기상청,가덕도,GDDB,34.9931,128.8313,가속도계,Kinemetrics,ES-DH,461,O-2023-55,2023-05-24,2028-05-23,,
기상청,강릉,KAWA,37.8052,128.8548,기록계,Kinemetrics,Q330S+,5844,O-2023-33,2023-03-31,2028-03-30,,
기상청,강릉,KAWA,37.8052,128.8548,가속도계,Kinemetrics,ES-DH,471,O-2023-33,2023-03-31,2028-03-30,,
기상청,거문도,GMDB,34.0408,127.2882,기록계,Kinemetrics,Q330HRS,5910,O-2023-154,2023-11-23,2028-11-22,,
기상청,거문도,GMDB,34.0408,127.2882,가속도계,Kinemetrics,ES-DH,431,O-2023-154,2023-11-23,2028-11-22,,
기상청,거창,KCH2,35.614,127.9188,기록계,Kinemetrics,Q330HRS,6083,O-2023-60,2023-06-02,2028-06-01,,
기상청,거창,KCH2,35.614,127.9188,속도계,Guralp,CMG-40T-1,T43962,O-2023-60,2023-06-02,2028-06-01,,
기상청,거창,KCH2,35.614,127.9188,가속도계,Kinemetrics,ES-T,7399,O-2023-60,2023-06-02,2028-06-01,,
기상청,고산,GOSF,33.3027,126.182302,기록계,Kinemetrics,Q330HRS,5922,O-2023-149,2023-11-15,2028-11-14,,
기상청,고산,GOSF,33.3027,126.182302,속도계,Guralp,CMG-40T-1,T43768,O-2023-149,2023-11-15,2028-11-14,,
기상청,고산,GOSF,33.3027,126.182302,가속도계,Kinemetrics,ES-T,7055,O-2023-149,2023-11-15,2028-11-14,,
기상청,고흥,KH2B,34.6185,127.2757,기록계,Kinemetrics,Q330HRS,6588,O-2023-139,2023-11-08,2028-11-07,O-2026-60,2026-05-14
기상청,고흥,KH2B,34.6185,127.2757,속도계,Streckeisen,STS-5A,130935,O-2023-139,2023-11-08,2028-11-07,O-2026-60,2026-05-14
기상청,장성,JAGA,35.3196,126.8107,기록계,Kinemetrics,Q330S+,6776,O-2023-120,2023-10-19,2028-10-18,O-2026-82,2026-06-16
기상청,구미,GUMA,36.23470833,128.2902,기록계,Kinemetrics,Q330S+,6549,O-2023-116,2023-10-17,2028-10-16,,
기상청,구미,GUMA,36.23470833,128.2902,가속도계,Kinemetrics,ES-DH,496,O-2023-116,2023-10-17,2028-10-16,,
기상청,군위,GUWB,36.18242,128.5932,기록계,Kinemetrics,Q330HRS,6122,O-2023-12,2023-03-10,2028-03-09,I-2026-19,2026-01-29
기상청,김천,GICA,36.0812,128.1016,기록계,Kinemetrics,Q330S+,6773,O-2023-112,2023-10-16,2028-10-15,O-2026-101,2026-07-10
기상청,김천,GICA,36.0812,128.1016,가속도계,Kinemetrics,ES-DH,574,O-2023-112,2023-10-16,2028-10-15,O-2026-101,2026-07-10
기상청,나주,NAJA,35.0261,126.8264,기록계,Kinemetrics,Q330S+,6547,O-2023-20,2023-03-17,2028-03-16,,
기상청,나주,NAJA,35.0261,126.8264,가속도계,Kinemetrics,ES-DH,534,O-2023-20,2023-03-17,2028-03-16,O-2026-88,2026-06-18
기상청,남해,NAHA,34.8167,127.9261,기록계,Kinemetrics,Q330S+,6548,O-2023-79,2023-08-21,2028-08-20,O-2026-70,2026-05-29
기상청,남해,NAHA,34.8167,127.9261,가속도계,Kinemetrics,ES-DH,535,O-2023-79,2023-08-21,2028-08-20,O-2026-70,2026-05-29
기상청,대구,DAGA,35.8788,128.6527,기록계,Kinemetrics,Q330S+,6765,O-2023-122,2023-10-20,2028-10-19,,
